user_weight_no,work,edu,free_time,health,chores,category_else,history_no
57,0.23,0.82,0.5,0.64,0.13,0.16,6791.0
58,0.15,0.83,0.44,0.05,0.48,0.47,10101.0
59,0.55,0.62,0.53,0.7,0.61,0.24,48991.0
60,0.46,0.64,0.63,0.42,0.97,0.09,63657.0
61,0.31,0.76,0.55,0.2,0.17,0.46,54723.0
62,0.39,0.61,0.99,0.25,0.12,0.17,24541.0
63,0.41,0.44,0.35,0.49,0.32,0.81,19390.0
64,0.85,0.86,0.92,0.85,0.67,0.27,10101.0
65,0.62,0.64,0.41,0.63,0.26,0.71,17965.0
66,0.73,0.11,0.4,0.81,0.02,0.4,12640.0
67,0.65,0.16,0.46,0.68,0.83,0.83,2478.0
68,0.41,0.4,0.65,0.89,0.8,0.57,2030.0
69,0.93,0.94,0.7,0.6,0.49,0.61,34111.0
70,0.95,0.32,0.05,0.21,0.95,0.79,17965.0
71,0.19,0.67,0.59,0.91,0.07,0.35,24541.0
72,0.32,0.63,0.11,0.43,0.14,0.41,62976.0
73,0.27,0.38,0.88,0.94,0.58,0.95,10101.0
74,0.51,0.01,0.25,0.22,0.42,0.9,60252.0
75,0.43,0.47,0.23,0.85,0.1,0.84,66498.0
76,0.61,0.94,0.73,0.94,0.04,0.48,10101.0
77,0.57,0.98,0.75,0.21,0.15,0.97,2645.0
78,0.53,0.22,0.76,0.38,0.57,0.64,10340.0
79,0.63,0.4,0.17,0.49,0.32,0.3,53480.0
80,0.05,0.78,0.88,0.82,0.93,0.57,6791.0
81,0.04,0.06,0.06,0.13,0.16,0.52,49678.0
82,0.45,0.87,0.47,0.4,0.74,0.32,46126.0
83,0.91,1.0,0.49,0.49,0.25,0.64,59537.0
84,0.19,0.12,0.29,0.76,0.48,0.99,2645.0
85,0.38,0.63,0.98,0.36,0.58,0.97,63657.0
86,0.26,0.72,0.56,0.8,0.27,0.33,17965.0
87,0.16,0.65,0.3,0.05,0.93,0.96,7826.0
88,0.12,0.12,0.54,0.69,0.41,0.81,63151.0
89,0.33,0.63,0.16,0.52,0.33,0.26,53792.0
90,0.08,0.13,0.93,0.91,0.34,0.12,19390.0
91,0.33,0.97,0.52,0.01,0.53,0.19,62044.0
92,0.73,0.46,0.33,0.09,0.43,0.4,10101.0
93,0.85,0.76,0.24,0.42,0.26,0.29,42022.0
94,0.64,0.8,0.27,0.58,0.36,0.18,2645.0
95,0.57,0.3,0.45,0.93,0.38,0.16,6328.0
96,0.31,0.44,0.56,0.85,0.45,0.9,10340.0
97,0.52,0.63,0.4,0.42,0.91,0.03,6791.0
98,0.09,0.71,0.41,0.25,0.12,0.63,46858.0
99,0.06,0.54,0.35,0.75,0.96,0.99,46858.0
100,0.16,0.63,0.84,0.24,0.68,0.06,59537.0
